Optimal Slope: 38.0 deg.
G(i)	T2m
460.78	16.42
459.56	16.13
319.72	15.49
11.87	14.11
0.0	12.2
0.0	10.52
0.0	9.06
0.0	7.86
0.0	6.35
0.0	5.55
0.0	5.0
0.0	4.59
0.0	4.22
0.0	3.87
0.0	3.56
0.0	3.23
0.0	2.87
0.0	2.51
12.78	2.22
54.78	2.43
142.76	3.31
182.92	4.27
397.23	4.81
238.12	5.36
302.4	6.24
247.43	5.92
102.28	5.57
104.01	5.32
0.0	4.43
0.0	3.51
0.0	2.89
0.0	2.19
0.0	1.53
0.0	0.72
0.0	0.29
0.0	-0.07
0.0	-0.26
0.0	-0.62
0.0	-0.68
0.0	-0.74
0.0	-0.73
0.0	-0.93
408.44	-0.33
723.75	0.87
813.09	1.63
501.05	2.8
463.45	3.14
554.76	3.4
649.48	3.54
603.63	3.56
349.28	3.38
120.42	2.98
0.0	2.21
0.0	1.39
0.0	0.67
0.0	0.11
0.0	-1.74
0.0	-2.72
0.0	-2.97
0.0	-3.34
0.0	-3.69
0.0	-3.93
0.0	-4.19
0.0	-4.39
0.0	-4.32
0.0	-4.0
47.48	-2.12
248.44	1.69
501.04	4.35
920.5	6.16
939.46	7.46
981.79	8.43
826.7	9.12
627.0	9.49
369.02	9.42
119.36	8.73
0.0	6.87
0.0	5.07
0.0	3.99
0.0	3.37
0.0	4.63
0.0	4.47
0.0	4.15
0.0	4.06
0.0	3.91
0.0	4.16
0.0	4.08
0.0	3.38
0.0	2.42
0.0	1.66
14.61	1.64
41.09	2.37
72.13	2.0
130.56	3.18
238.47	4.41
195.19	5.45
162.33	6.23
94.95	7.0
313.66	7.43
61.32	7.2
0.0	6.25
0.0	4.86
0.0	4.11
0.0	3.38
0.0	3.01
0.0	2.0
0.0	0.59
0.0	0.03
0.0	-0.43
0.0	-0.68
0.0	-1.03
0.0	-0.2
0.0	-0.05
0.0	0.02
146.29	1.4
355.06	4.97
865.18	7.46
924.25	9.64
709.79	11.37
437.17	12.82
489.41	13.39
35.61	13.45
38.35	13.11
9.13	11.85
0.0	10.25
0.0	8.51
0.0	7.13
0.0	5.83
0.0	5.66
0.0	5.01
0.0	5.22
0.0	5.44
0.0	5.43
0.0	5.45
0.0	5.34
0.0	5.32
0.0	5.23
1.7	5.29
15.52	5.53
47.48	6.19
75.78	6.79
71.22	6.73
88.56	6.93
96.78	7.02
73.04	6.71
75.78	6.14
86.74	5.06
60.27	3.31
0.0	1.9
0.0	1.46
0.0	1.33
0.0	1.47
0.0	1.27
0.0	0.85
0.0	0.17
0.0	-0.66
0.0	-1.44
0.0	-2.24
0.0	-2.82
0.0	-3.3
0.0	-3.37
6.39	-3.26
492.71	-1.9
691.05	1.15
924.66	4.51
1042.59	6.46
1042.92	7.93
941.63	8.95
368.28	9.69
395.74	10.35
213.48	10.58
117.18	10.06
0.0	8.62
0.0	6.12
0.0	4.44
0.0	3.73
0.0	3.75
0.0	3.49
0.0	3.06
0.0	2.73
0.0	2.45
0.0	2.14
0.0	1.88
0.0	1.61
0.0	1.2
11.87	0.82
241.44	2.4
652.01	6.25
885.47	10.53
982.32	13.3
993.73	14.9
986.91	15.62
843.16	16.01
613.82	16.12
370.64	15.87
22.83	14.86
0.0	12.62
0.0	9.93
0.0	8.48
0.0	7.56
0.0	7.06
0.0	6.16
0.0	5.3
0.0	4.54
0.0	3.89
0.0	3.59
0.0	3.55
0.0	3.29
0.0	2.97
3.65	2.3
120.28	4.16
239.37	8.06
205.12	11.03
333.66	12.47
389.49	12.87
505.22	13.25
816.52	13.3
601.07	13.34
163.37	13.33
16.43	13.33
0.0	11.67
0.0	9.83
0.0	8.7
0.0	7.7
0.0	7.53
0.0	7.14
0.0	6.63
0.0	6.25
0.0	5.43
0.0	5.02
0.0	4.83
0.0	4.62
0.0	4.3
5.48	3.9
245.21	5.6
134.13	9.6
410.94	12.45
353.14	13.79
415.3	14.05
236.49	14.68
126.91	14.67
